,Unnamed: 0,Customer_id,Customer_age,Customer_sex,Customer_type,Customer_city,Visits,Device_used,Device_Platform,Existing_Customer,Product_id,product_visit,Days_in_cart,Viewd_in_cart,Price,Transcation_amount,discount_offered,Warranty,Warranty_period,Product_age,Support_type,Support_mode,Support_satisfaction,Revenue_Impact,Region,State,Zone,Product_comparison,Tech_score,Purchase_power,Thinking_score,service_category
18,18,19,21,Female,Young,Kakinada,200,Mobile/Tablet,Android,No,1,6,42,16,89528,72517,19,0,0,39,Product_upgrade,Customer_support,5,26858,Non Metro,Andhra Pradesh,South,8,4,6,5,Gold1
19,19,20,40,Female,Middle,Nanded,55,Mobile/Tablet,iOS,No,3,8,11,3,47192,38225,19,1,11,1,Technical_Queries,Customer_support,4,0,Non Metro,Maharashtra,South,7,4,9,3,Platinum1
20,20,21,36,Female,Middle,Bhopal,178,Mobile/Tablet,iOS,Yes,3,4,19,5,47192,44832,5,0,0,29,Parts_change,Service_center,5,2110,Non Metro,Madhya Pradesh,West,4,4,9,3,Platinum1
21,21,22,42,Female,Middle,Amritsar,176,Mobile/Tablet,iOS,Yes,4,8,29,8,33668,27944,17,0,0,36,Product_upgrade,Customer_support,3,10100,Non Metro,Punjab,North,5,3,7,3,Gold1
22,22,23,22,Male,Young,Rourkela,182,Laptop/PC,Windows,Yes,1,8,49,19,89528,72517,19,1,3,9,Parts_change,Service_center,5,2482,Non Metro,Orissa,East,5,3,6,5,Gold1
23,23,24,41,Male,Middle,Meerut,162,Laptop/PC,Linux,No,4,7,23,6,33668,29627,12,0,0,18,Product_upgrade,Customer_support,4,10100,Non Metro,Uttar Pradesh,North,7,9,3,3,Silver2
24,24,25,39,Male,Middle,Durgapur,160,Laptop/PC,Windows,Yes,3,6,34,10,47192,36337,23,1,9,3,Technical_Queries,Customer_support,5,0,Non Metro,West Bengal,East,4,4,5,4,Silver1
25,25,26,51,Male,Old,Cuttack,139,Mobile/Tablet,iOS,Yes,5,5,4,1,78227,63363,19,1,5,7,Technical_Queries,Customer_support,4,0,Non Metro,Orissa,East,4,4,10,2,Platinum1
26,26,27,19,Female,Young,Warangal,214,Mobile/Tablet,Android,Yes,0,9,55,22,56323,45621,19,1,4,8,Parts_change,Service_center,5,1235,Non Metro,Telangana,South,9,4,5,5,Silver1
27,27,28,21,Female,Young,Thiruvananthapuram,197,Laptop/PC,Windows,Yes,1,6,40,16,89528,68936,23,1,4,8,Technical_Queries,Customer_support,4,0,Non Metro,Kerela,South,8,4,6,5,Gold1
28,28,29,54,Female,Old,Dehradun,104,Laptop/PC,Windows,Yes,4,1,13,3,33668,29627,12,1,4,8,Technical_Queries,Remote_sharing,5,0,Non Metro,Uttrakhand,North,1,2,3,3,Silver1
29,29,30,37,Male,Middle,Aligarh,137,Laptop/PC,Linux,No,4,4,24,7,33668,31984,5,0,0,33,Product_upgrade,Customer_support,2,10100,Non Metro,Uttar Pradesh,North,3,7,3,3,Silver2
30,30,31,26,Female,Young,Guntur,195,Mobile/Tablet,iOS,No,1,4,50,20,89528,74308,17,1,8,4,Technical_Queries,Remote_sharing,4,0,Non Metro,Andhra Pradesh,South,6,3,10,5,Platinum1
31,31,32,50,Female,Old,Lucknow,114,Laptop/PC,Windows,Yes,4,3,5,1,33668,27944,17,1,9,3,Technical_Queries,Customer_support,5,0,Non Metro,Uttar Pradesh,North,3,2,3,2,Silver1
32,32,33,29,Male,Young,Gurgaon,151,Laptop/PC,Linux,Yes,2,3,28,11,86114,75780,12,1,7,5,Technical_Queries,Customer_support,4,0,Non Metro,Haryana,North,3,7,6,4,Gold2
33,33,34,60,Female,Old,Firozabad,118,Laptop/PC,Linux,Yes,5,1,20,6,78227,68839,12,0,0,13,Parts_change,Service_center,5,1918,Non Metro,Uttar Pradesh,North,2,7,6,3,Gold2
34,34,35,46,Female,Old,Gulbarga,127,Laptop/PC,Windows,No,4,3,5,1,33668,31984,5,1,6,6,Technical_Queries,Remote_sharing,5,0,Non Metro,Karnartaka,South,3,2,3,2,Silver1
35,35,36,38,Male,Middle,Gorakhpur,132,Laptop/PC,Linux,Yes,3,7,25,7,47192,44832,5,1,2,10,Technical_Queries,Remote_sharing,5,0,Non Metro,Haryana,North,5,8,5,3,Silver2
36,36,37,57,Male,Old,Amritsar,105,Laptop/PC,Windows,No,4,6,9,2,33668,31984,5,0,0,27,Product_upgrade,Customer_support,2,10100,Non Metro,Punjab,North,4,4,3,2,Silver1
37,37,38,51,Male,Old,Kurnool,148,Mobile/Tablet,Android,Yes,3,6,12,3,47192,44832,5,0,0,31,Product_upgrade,Customer_support,3,14157,Non Metro,Andhra Pradesh,South,3,2,5,3,Silver1
38,38,39,36,Female,Middle,Jammu,121,Laptop/PC,Windows,No,4,3,27,8,33668,27944,17,0,0,25,Product_upgrade,Customer_support,4,10100,Non Metro,Jammu and Kashmir,North,4,4,3,3,Silver1
39,39,40,53,Male,Old,Kakinada,128,Mobile/Tablet,Android,No,5,6,30,9,78227,74315,5,1,11,1,Technical_Queries,Remote_sharing,5,0,Non Metro,Andhra Pradesh,South,1,2,6,3,Gold1
40,40,41,23,Male,Young,Chandigarh,215,Laptop/PC,Windows,Yes,2,6,39,15,86114,71474,17,0,0,18,Product_upgrade,Customer_support,3,25834,Non Metro,Punjab,North,9,4,6,5,Gold1
41,41,42,20,Male,Young,Madurai,184,Laptop/PC,Linux,Yes,1,6,31,12,89528,72517,19,1,8,4,Technical_Queries,Remote_sharing,4,0,Non Metro,Tamil Nadu,South,6,8,6,5,Gold2
42,42,43,58,Male,Old,Nashik,147,Laptop/PC,Windows,No,4,5,24,7,33668,27271,19,0,0,30,Product_upgrade,Customer_support,5,10100,Non Metro,Maharashtra,South,3,2,3,3,Silver1
43,43,44,36,Female,Middle,Agra,84,Mobile/Tablet,iOS,Yes,2,4,29,8,86114,75780,12,0,0,31,Parts_change,Service_center,5,2361,Non Metro,Uttar Pradesh,North,6,3,10,3,Platinum1
44,44,45,26,Male,Young,Jammu,187,Laptop/PC,Windows,Yes,2,4,33,13,86114,75780,12,0,0,23,Parts_change,Service_center,4,1853,Non Metro,Jammu and Kashmir,North,6,3,6,5,Gold1
45,45,46,36,Male,Middle,Nanded,157,Mobile/Tablet,Android,Yes,4,8,39,11,33668,25924,23,0,0,16,Product_upgrade,Customer_support,2,10100,Non Metro,Maharashtra,South,4,4,3,5,Silver1
46,46,47,38,Male,Middle,Bhubaneswar,51,Laptop/PC,Windows,No,3,8,13,3,47192,39169,17,0,0,13,Product_upgrade,Customer_support,2,14157,Non Metro,Orissa,East,4,4,5,3,Silver1
47,47,48,19,Female,Young,Kottayam,213,Laptop/PC,Windows,No,1,4,49,19,89528,85051,5,0,0,22,Product_upgrade,Customer_support,3,26858,Non Metro,Kerela,South,5,3,6,5,Gold1
48,48,49,53,Female,Old,Varanasi,100,Laptop/PC,Linux,Yes,4,5,3,0,33668,31984,5,1,6,6,Technical_Queries,Customer_support,4,0,Non Metro,Uttar Pradesh,North,3,7,3,2,Silver2
49,49,50,48,Male,Old,Siliguri,128,Laptop/PC,Linux,No,4,5,8,2,33668,31984,5,0,0,31,Parts_change,Service_center,5,1162,Non Metro,Assam,East,1,7,3,2,Silver2
50,50,51,18,Male,Young,Thiruvananthapuram,187,Laptop/PC,Windows,Yes,0,5,54,21,56323,53506,5,1,12,0,Technical_Queries,Remote_sharing,5,0,Non Metro,Kerela,South,8,4,5,5,Silver1
51,51,52,30,Male,Young,Dhanbad,190,Mobile/Tablet,Android,Yes,0,5,31,12,56323,43368,23,1,0,12,Parts_change,Service_center,5,1764,Non Metro,Jharkhand,East,7,4,5,5,Silver1
52,52,53,57,Male,Old,Pune,101,Laptop/PC,Windows,No,5,1,14,4,78227,64928,17,1,0,12,Parts_change,Service_center,5,1887,Metro,Maharashtra,South,3,2,6,3,Gold1
53,53,54,41,Male,Middle,Dhanbad,154,Mobile/Tablet,iOS,No,2,6,13,3,86114,69752,19,0,0,22,Parts_change,Service_center,4,1460,Non Metro,Jharkhand,East,6,3,10,3,Platinum1
54,54,55,49,Female,Old,Faridabad,125,Mobile/Tablet,Android,No,5,6,5,1,78227,74315,5,0,0,31,Parts_change,Service_center,5,2264,Non Metro,Haryana,North,1,2,6,2,Gold1
55,55,56,18,Male,Young,BokaroSteelCity,141,Laptop/PC,Windows,No,2,6,27,10,86114,66307,23,1,9,3,Technical_Queries,Remote_sharing,5,0,Non Metro,Jharkhand,East,5,3,6,3,Gold1
56,56,57,45,Male,Middle,Jamnagar,114,Mobile/Tablet,Android,Yes,3,7,31,9,47192,39169,17,1,8,4,Technical_Queries,Remote_sharing,4,0,Non Metro,Gujrat,West,7,4,5,4,Silver1
57,57,58,47,Female,Old,Bikaner,105,Laptop/PC,Linux,Yes,4,3,3,0,33668,27944,17,0,0,15,Product_upgrade,Customer_support,5,10100,Non Metro,Rajasthan,West,1,7,3,2,Silver2
58,58,59,41,Male,Middle,Jodhpur,102,Mobile/Tablet,Android,No,4,8,38,11,33668,27944,17,1,11,1,Technical_Queries,Customer_support,5,0,Non Metro,Rajasthan,West,7,4,3,5,Silver1
59,59,60,47,Female,Old,Meerut,130,Mobile/Tablet,iOS,Yes,5,1,21,6,78227,63363,19,1,11,1,Technical_Queries,Customer_support,5,0,Non Metro,Uttar Pradesh,North,2,2,10,3,Platinum1
60,60,61,21,Female,Young,Tirunelveli,208,Laptop/PC,Linux,No,2,9,50,20,86114,75780,12,0,0,29,Product_upgrade,Customer_support,5,25834,Non Metro,Tamil Nadu,South,9,9,6,5,Gold2
61,61,62,44,Female,Middle,Chandigarh,158,Laptop/PC,Windows,Yes,4,6,22,6,33668,27944,17,1,12,0,Technical_Queries,Customer_support,4,0,Non Metro,Punjab,North,4,4,3,3,Silver1
62,62,63,19,Male,Young,Ludhiana,181,Mobile/Tablet,iOS,No,1,6,52,20,89528,85051,5,0,0,29,Product_upgrade,Customer_support,5,26858,Non Metro,Punjab,North,3,2,10,5,Platinum1
63,63,64,33,Female,Young,Cuttack,148,Mobile/Tablet,Android,Yes,2,9,56,22,86114,66307,23,1,12,0,Technical_Queries,Customer_support,4,0,Non Metro,Orissa,East,6,3,6,5,Gold1
64,64,65,53,Female,Old,Gorakhpur,119,Mobile/Tablet,iOS,No,4,1,28,8,33668,25924,23,0,0,32,Parts_change,Service_center,5,1001,Non Metro,Haryana,North,3,2,7,3,Gold1
65,65,66,33,Female,Young,Indore,175,Laptop/PC,Linux,Yes,3,7,49,19,47192,38225,19,0,0,27,Product_upgrade,Customer_support,5,14157,Non Metro,Madhya Pradesh,West,3,7,5,5,Silver2
66,66,67,28,Male,Young,Mumbai,149,Mobile/Tablet,iOS,Yes,1,7,50,20,89528,72517,19,0,0,21,Parts_change,Service_center,4,1946,Metro,Maharashtra,South,6,3,10,5,Platinum1
67,67,68,34,Female,Young,Bhiwandi,216,Mobile/Tablet,iOS,Yes,3,9,44,17,47192,38225,19,1,0,12,Parts_change,Service_center,5,2413,Non Metro,Maharashtra,South,3,2,9,5,Platinum1
68,68,69,34,Male,Young,Jammu,199,Mobile/Tablet,Android,No,2,9,41,16,86114,81808,5,1,2,10,Technical_Queries,Remote_sharing,5,0,Non Metro,Jammu and Kashmir,North,5,3,6,5,Gold1
69,69,70,46,Female,Old,Thiruvananthapuram,113,Mobile/Tablet,iOS,No,5,3,22,6,78227,63363,19,0,0,36,Product_upgrade,Customer_support,3,23468,Non Metro,Kerela,South,4,4,10,3,Platinum1
70,70,71,48,Male,Old,Patna,115,Mobile/Tablet,Android,No,4,6,24,7,33668,27944,17,0,0,23,Product_upgrade,Customer_support,5,10100,Non Metro,Bihar,East,3,2,3,3,Silver1
71,71,72,37,Female,Middle,Tiruppur,68,Mobile/Tablet,Android,Yes,4,6,12,3,33668,27944,17,1,1,11,Technical_Queries,Customer_support,5,0,Non Metro,Tamil Nadu,South,5,3,3,3,Silver1
72,72,73,57,Female,Old,Tiruchirappalli,149,Laptop/PC,Windows,No,4,5,1,0,33668,27944,17,0,0,25,Product_upgrade,Customer_support,5,10100,Non Metro,Tamil Nadu,South,1,2,3,2,Silver1
73,73,74,22,Female,Young,Bhilai,150,Laptop/PC,Windows,No,2,4,53,21,86114,81808,5,1,10,2,Technical_Queries,Remote_sharing,4,0,Non Metro,Chattisgarh,East,7,4,6,5,Gold1
74,74,75,51,Female,Old,Mysore,121,Mobile/Tablet,iOS,No,5,3,26,7,78227,74315,5,1,5,7,Technical_Queries,Remote_sharing,4,0,Non Metro,Karnartaka,South,2,2,10,3,Platinum1
75,75,76,31,Female,Young,Tiruchirappalli,137,Mobile/Tablet,Android,No,2,6,55,22,86114,75780,12,1,8,4,Technical_Queries,Remote_sharing,5,0,Non Metro,Tamil Nadu,South,7,4,6,5,Gold1
76,76,77,28,Male,Young,Madurai,187,Mobile/Tablet,Android,No,0,6,28,11,56323,43368,23,1,12,0,Technical_Queries,Remote_sharing,4,0,Non Metro,Tamil Nadu,South,5,3,5,4,Silver1
77,77,78,33,Female,Young,Ajmer,178,Mobile/Tablet,iOS,Yes,0,10,51,20,56323,49564,12,1,8,4,Technical_Queries,Remote_sharing,4,0,Non Metro,Rajasthan,West,6,3,9,5,Platinum1
78,78,79,34,Male,Young,Surat,189,Laptop/PC,Linux,No,1,10,26,10,89528,78784,12,1,0,12,Technical_Queries,Remote_sharing,4,0,Metro,Gujrat,West,7,9,6,3,Gold2
79,79,80,39,Female,Middle,Goa,174,Mobile/Tablet,iOS,Yes,2,3,23,6,86114,66307,23,0,0,28,Parts_change,Service_center,5,2053,Non Metro,Goa,South,7,4,10,3,Platinum1
80,80,81,53,Male,Old,Raipur,121,Mobile/Tablet,Android,Yes,4,5,13,3,33668,27271,19,1,10,2,Technical_Queries,Remote_sharing,5,0,Non Metro,Chattisgarh,East,3,2,3,3,Silver1
81,81,82,38,Female,Middle,Vasai-VirarCity,160,Mobile/Tablet,Android,No,3,6,35,10,47192,36337,23,1,11,1,Technical_Queries,Remote_sharing,5,0,Non Metro,Maharashtra,South,3,2,5,4,Silver1
82,82,83,30,Male,Young,Indore,185,Mobile/Tablet,Android,Yes,1,6,40,16,89528,68936,23,0,0,32,Parts_change,Service_center,4,1899,Non Metro,Madhya Pradesh,West,7,4,6,5,Gold1
83,83,84,52,Female,Old,Goa,134,Laptop/PC,Windows,Yes,3,3,21,6,47192,38225,19,0,0,39,Product_upgrade,Customer_support,3,14157,Non Metro,Goa,South,2,2,5,3,Silver1
84,84,85,34,Female,Young,Mathura,142,Laptop/PC,Windows,No,2,9,44,17,86114,69752,19,1,9,3,Technical_Queries,Remote_sharing,4,0,Non Metro,Uttar Pradesh,North,4,4,6,5,Gold1
85,85,86,33,Female,Young,Coimbatore,191,Laptop/PC,Linux,No,3,7,53,21,47192,36337,23,1,4,8,Parts_change,Service_center,5,1434,Metro,Andhra Pradesh,South,9,9,5,5,Silver2
86,86,87,45,Female,Middle,Solapur,139,Laptop/PC,Windows,Yes,3,8,15,4,47192,36337,23,1,9,3,Technical_Queries,Customer_support,4,0,Non Metro,Maharashtra,South,3,2,5,3,Silver1
87,87,88,43,Male,Middle,Amravati,119,Laptop/PC,Windows,Yes,2,8,16,4,86114,69752,19,0,0,37,Product_upgrade,Customer_support,2,25834,Non Metro,Maharashtra,South,5,3,6,3,Gold1
88,88,89,28,Female,Young,Bikaner,154,Mobile/Tablet,Android,Yes,1,7,55,22,89528,74308,17,1,7,5,Technical_Queries,Customer_support,5,0,Non Metro,Rajasthan,West,5,3,6,5,Gold1
89,89,90,33,Female,Young,Tiruvannamalai,197,Laptop/PC,Windows,Yes,1,4,44,17,89528,68936,23,1,1,11,Parts_change,Service_center,4,1026,Non Metro,Andhra Pradesh,South,3,2,6,5,Gold1
90,90,91,58,Male,Old,Jhansi,139,Laptop/PC,Linux,No,4,6,5,1,33668,29627,12,1,3,9,Parts_change,Service_center,5,1301,Non Metro,Uttar Pradesh,North,1,7,3,2,Silver2
91,91,92,57,Male,Old,Srinagar,134,Laptop/PC,Windows,Yes,5,6,17,5,78227,60234,23,0,0,24,Product_upgrade,Customer_support,4,23468,Non Metro,Jammu and Kashmir,North,3,2,6,3,Gold1
92,92,93,36,Female,Middle,Mysore,88,Mobile/Tablet,Android,Yes,3,3,33,9,47192,39169,17,0,0,38,Product_upgrade,Customer_support,4,14157,Non Metro,Karnartaka,South,5,3,5,4,Silver1
93,93,94,37,Male,Middle,Nashik,163,Laptop/PC,Windows,No,4,6,22,6,33668,29627,12,0,0,32,Product_upgrade,Customer_support,4,10100,Non Metro,Maharashtra,South,5,3,3,3,Silver1
94,94,95,59,Female,Old,Jamnagar,118,Laptop/PC,Linux,No,3,6,18,5,47192,36337,23,1,3,9,Technical_Queries,Customer_support,4,0,Non Metro,Gujrat,West,3,7,5,3,Silver2
95,95,96,60,Female,Old,Jabalpur,123,Laptop/PC,Linux,Yes,3,6,19,5,47192,38225,19,1,3,9,Technical_Queries,Remote_sharing,5,0,Non Metro,Madhya Pradesh,West,3,7,5,3,Silver2
96,96,97,49,Female,Old,Chennai,136,Laptop/PC,Linux,No,4,3,16,4,33668,25924,23,1,3,9,Technical_Queries,Remote_sharing,4,0,Metro,Tamil Nadu,South,3,7,3,3,Silver2
97,97,98,35,Female,Old,Ahmedabad,144,Laptop/PC,Linux,Yes,5,1,30,9,78227,64928,17,1,2,10,Technical_Queries,Customer_support,5,0,Metro,Gujrat,West,3,7,6,3,Gold2
98,98,99,21,Male,Young,Nellore,157,Mobile/Tablet,Android,Yes,1,1,41,16,89528,72517,19,0,0,13,Product_upgrade,Customer_support,2,26858,Non Metro,Andhra Pradesh,South,6,3,6,5,Gold1
99,99,100,58,Male,Old,Jalandhar,104,Mobile/Tablet,Android,Yes,5,3,11,3,78227,63363,19,1,6,6,Technical_Queries,Remote_sharing,5,0,Non Metro,Punjab,North,1,2,6,3,Gold1
100,100,101,58,Male,Old,Jalandhar,142,Laptop/PC,Linux,No,3,3,16,4,47192,39169,17,1,6,6,Technical_Queries,Customer_support,4,0,Non Metro,Punjab,North,1,7,5,3,Silver2
101,101,102,28,Female,Young,Jaipur,165,Mobile/Tablet,Android,Yes,0,4,44,17,56323,46748,17,0,0,14,Product_upgrade,Customer_support,3,16896,Non Metro,Rajasthan,West,8,4,5,5,Silver1
102,102,103,33,Male,Young,Jodhpur,139,Mobile/Tablet,iOS,Yes,0,4,41,16,56323,53506,5,0,0,33,Parts_change,Service_center,4,1715,Non Metro,Rajasthan,West,6,3,9,5,Platinum1
103,103,104,22,Male,Young,Tirunelveli,189,Mobile/Tablet,Android,No,0,4,49,19,56323,45621,19,1,4,8,Parts_change,Service_center,4,671,Non Metro,Tamil Nadu,South,8,4,5,5,Silver1
104,104,105,38,Male,Middle,Jaipur,110,Laptop/PC,Windows,Yes,4,8,26,7,33668,29627,12,1,7,5,Technical_Queries,Remote_sharing,4,0,Non Metro,Rajasthan,West,7,4,3,3,Silver1
105,105,106,56,Male,Old,Jalandhar,148,Laptop/PC,Linux,Yes,3,1,5,1,47192,41528,12,0,0,33,Product_upgrade,Customer_support,5,14157,Non Metro,Punjab,North,4,9,5,2,Silver2
106,106,107,51,Male,Old,Tirunelveli,142,Laptop/PC,Linux,Yes,5,5,19,5,78227,74315,5,1,2,10,Parts_change,Service_center,4,1290,Non Metro,Tamil Nadu,South,4,9,6,3,Gold2
107,107,108,18,Male,Young,Amritsar,211,Laptop/PC,Windows,Yes,2,5,46,18,86114,66307,23,0,0,37,Product_upgrade,Customer_support,4,25834,Non Metro,Punjab,North,5,3,6,5,Gold1
108,108,109,44,Male,Middle,Bikaner,130,Mobile/Tablet,iOS,No,2,4,19,5,86114,69752,19,1,4,8,Technical_Queries,Remote_sharing,4,0,Non Metro,Rajasthan,West,4,4,10,3,Platinum1
109,109,110,26,Male,Young,Vijayawada,172,Laptop/PC,Linux,Yes,1,4,31,12,89528,78784,12,1,3,9,Parts_change,Service_center,4,2191,Non Metro,Andhra Pradesh,South,3,7,6,5,Gold2
110,110,111,42,Female,Middle,Kanpur,78,Laptop/PC,Linux,Yes,3,3,33,9,47192,44832,5,1,0,12,Parts_change,Service_center,5,862,Non Metro,Uttar Pradesh,North,7,9,5,4,Silver2
111,111,112,53,Female,Old,Vasai-VirarCity,142,Mobile/Tablet,Android,Yes,4,1,27,8,33668,29627,12,0,0,24,Parts_change,Service_center,4,974,Non Metro,Maharashtra,South,4,4,3,3,Silver1
112,112,113,18,Male,Young,Ludhiana,195,Laptop/PC,Windows,No,1,1,52,20,89528,68936,23,0,0,38,Product_upgrade,Customer_support,5,26858,Non Metro,Punjab,North,9,4,6,5,Gold1
113,113,114,46,Female,Old,Sangli,121,Mobile/Tablet,Android,No,3,6,27,8,47192,41528,12,1,0,12,Technical_Queries,Remote_sharing,4,0,Non Metro,Maharashtra,South,2,2,5,3,Silver1
114,114,115,28,Male,Young,Ujjain,134,Laptop/PC,Windows,Yes,0,6,40,16,56323,53506,5,0,0,32,Product_upgrade,Customer_support,3,16896,Non Metro,Punjab,North,4,4,5,5,Silver1
115,115,116,37,Male,Middle,Bangalore,149,Mobile/Tablet,Android,No,3,7,16,4,47192,41528,12,1,12,0,Technical_Queries,Customer_support,5,0,Metro,Karnartaka,South,7,4,5,3,Silver1
116,116,117,23,Male,Young,Kota,175,Laptop/PC,Linux,No,1,7,46,18,89528,68936,23,0,0,37,Product_upgrade,Customer_support,4,26858,Non Metro,Rajasthan,West,6,8,6,5,Gold2
117,117,118,51,Male,Old,Tirunelveli,137,Laptop/PC,Windows,Yes,4,3,13,3,33668,29627,12,0,0,24,Product_upgrade,Customer_support,5,10100,Non Metro,Tamil Nadu,South,4,4,3,3,Silver1
118,118,119,47,Female,Old,Asansol,106,Mobile/Tablet,Android,No,4,5,24,7,33668,27944,17,0,0,15,Product_upgrade,Customer_support,4,10100,Non Metro,West Bengal,East,3,2,3,3,Silver1
119,119,120,58,Female,Old,Kanpur,146,Laptop/PC,Windows,Yes,3,3,11,3,47192,44832,5,0,0,37,Product_upgrade,Customer_support,3,14157,Non Metro,Uttar Pradesh,North,4,4,5,3,Silver1
120,120,121,23,Female,Young,Ajmer,194,Mobile/Tablet,Android,No,3,4,46,18,47192,44832,5,0,0,15,Parts_change,Service_center,4,530,Non Metro,Rajasthan,West,8,4,5,5,Silver1
121,121,122,41,Female,Middle,Guwahati,55,Laptop/PC,Windows,No,3,7,17,5,47192,44832,5,1,2,10,Technical_Queries,Customer_support,4,0,Non Metro,Assam,East,3,2,5,3,Silver1
122,122,123,59,Female,Old,Gwalior,143,Mobile/Tablet,iOS,No,3,3,12,3,47192,38225,19,1,11,1,Technical_Queries,Remote_sharing,4,0,Non Metro,Madhya Pradesh,West,3,2,9,3,Platinum1
123,123,124,55,Female,Old,Bareilly,131,Laptop/PC,Windows,No,4,5,27,8,33668,27271,19,1,6,6,Technical_Queries,Remote_sharing,5,0,Non Metro,Uttar Pradesh,North,4,4,3,3,Silver1
124,124,125,20,Male,Young,Jalandhar,208,Laptop/PC,Windows,Yes,0,5,36,14,56323,49564,12,1,11,1,Technical_Queries,Remote_sharing,5,0,Non Metro,Punjab,North,5,3,5,5,Silver1
125,125,126,40,Male,Middle,Tirunelveli,174,Laptop/PC,Linux,Yes,3,6,29,8,47192,38225,19,1,4,8,Technical_Queries,Remote_sharing,4,0,Non Metro,Tamil Nadu,South,4,9,5,3,Silver2
126,126,127,34,Female,Young,Mangalore,143,Mobile/Tablet,iOS,Yes,0,9,60,24,56323,46748,17,1,3,9,Parts_change,Service_center,4,536,Non Metro,Karnartaka,South,9,4,9,5,Platinum1
