,Customer_id,Customer_age,Customer_sex,Customer_type,Customer_city,Visits,Device_used,Device_Platform,Existing_Customer,Product_id,product_visit,Days_in_cart,Viewd_in_cart,Price,Transcation_amount,discount_offered,Warranty,Warranty_period,Product_age,Support_type,Support_mode,Support_satisfaction,Revenue_Impact
29,30,37,1,Middle,Aligarh,137,1,Linux,No,4,4,24,7,33668,31984,5,0,0,33,Product_upgrade,Customer_support,2,10100
30,31,26,0,Young,Guntur,195,0,iOS,No,1,4,50,20,89528,74308,17,1,8,4,Technical_Queries,Remote_sharing,4,0
31,32,50,0,Old,Lucknow,114,1,Windows,Yes,4,3,5,1,33668,27944,17,1,9,3,Technical_Queries,Customer_support,5,0
32,33,29,1,Young,Gurgaon,151,1,Linux,Yes,2,3,28,11,86114,75780,12,1,7,5,Technical_Queries,Customer_support,4,0
33,34,60,0,Old,Firozabad,118,1,Linux,Yes,5,1,20,6,78227,68839,12,0,0,13,Parts_change,Service_center,5,1918
34,35,46,0,Old,Gulbarga,127,1,Windows,No,4,3,5,1,33668,31984,5,1,6,6,Technical_Queries,Remote_sharing,5,0
35,36,38,1,Middle,Gorakhpur,132,1,Linux,Yes,3,7,25,7,47192,44832,5,1,2,10,Technical_Queries,Remote_sharing,5,0
36,37,57,1,Old,Amritsar,105,1,Windows,No,4,6,9,2,33668,31984,5,0,0,27,Product_upgrade,Customer_support,2,10100
37,38,51,1,Old,Kurnool,148,0,Android,Yes,3,6,12,3,47192,44832,5,0,0,31,Product_upgrade,Customer_support,3,14157
38,39,36,0,Middle,Jammu,121,1,Windows,No,4,3,27,8,33668,27944,17,0,0,25,Product_upgrade,Customer_support,4,10100
39,40,53,1,Old,Kakinada,128,0,Android,No,5,6,30,9,78227,74315,5,1,11,1,Technical_Queries,Remote_sharing,5,0
40,41,23,1,Young,Chandigarh,215,1,Windows,Yes,2,6,39,15,86114,71474,17,0,0,18,Product_upgrade,Customer_support,3,25834
41,42,20,1,Young,Madurai,184,1,Linux,Yes,1,6,31,12,89528,72517,19,1,8,4,Technical_Queries,Remote_sharing,4,0
42,43,58,1,Old,Nashik,147,1,Windows,No,4,5,24,7,33668,27271,19,0,0,30,Product_upgrade,Customer_support,5,10100
43,44,36,0,Middle,Agra,84,0,iOS,Yes,2,4,29,8,86114,75780,12,0,0,31,Parts_change,Service_center,5,2361
44,45,26,1,Young,Jammu,187,1,Windows,Yes,2,4,33,13,86114,75780,12,0,0,23,Parts_change,Service_center,4,1853
45,46,36,1,Middle,Nanded,157,0,Android,Yes,4,8,39,11,33668,25924,23,0,0,16,Product_upgrade,Customer_support,2,10100
46,47,38,1,Middle,Bhubaneswar,51,1,Windows,No,3,8,13,3,47192,39169,17,0,0,13,Product_upgrade,Customer_support,2,14157
47,48,19,0,Young,Kottayam,213,1,Windows,No,1,4,49,19,89528,85051,5,0,0,22,Product_upgrade,Customer_support,3,26858
48,49,53,0,Old,Varanasi,100,1,Linux,Yes,4,5,3,0,33668,31984,5,1,6,6,Technical_Queries,Customer_support,4,0
49,50,48,1,Old,Siliguri,128,1,Linux,No,4,5,8,2,33668,31984,5,0,0,31,Parts_change,Service_center,5,1162
50,51,18,1,Young,Thiruvananthapuram,187,1,Windows,Yes,0,5,54,21,56323,53506,5,1,12,0,Technical_Queries,Remote_sharing,5,0
51,52,30,1,Young,Dhanbad,190,0,Android,Yes,0,5,31,12,56323,43368,23,1,0,12,Parts_change,Service_center,5,1764
52,53,57,1,Old,Pune,101,1,Windows,No,5,1,14,4,78227,64928,17,1,0,12,Parts_change,Service_center,5,1887
53,54,41,1,Middle,Dhanbad,154,0,iOS,No,2,6,13,3,86114,69752,19,0,0,22,Parts_change,Service_center,4,1460
54,55,49,0,Old,Faridabad,125,0,Android,No,5,6,5,1,78227,74315,5,0,0,31,Parts_change,Service_center,5,2264
55,56,18,1,Young,BokaroSteelCity,141,1,Windows,No,2,6,27,10,86114,66307,23,1,9,3,Technical_Queries,Remote_sharing,5,0
56,57,45,1,Middle,Jamnagar,114,0,Android,Yes,3,7,31,9,47192,39169,17,1,8,4,Technical_Queries,Remote_sharing,4,0
57,58,47,0,Old,Bikaner,105,1,Linux,Yes,4,3,3,0,33668,27944,17,0,0,15,Product_upgrade,Customer_support,5,10100
58,59,41,1,Middle,Jodhpur,102,0,Android,No,4,8,38,11,33668,27944,17,1,11,1,Technical_Queries,Customer_support,5,0
59,60,47,0,Old,Meerut,130,0,iOS,Yes,5,1,21,6,78227,63363,19,1,11,1,Technical_Queries,Customer_support,5,0
60,61,21,0,Young,Tirunelveli,208,1,Linux,No,2,9,50,20,86114,75780,12,0,0,29,Product_upgrade,Customer_support,5,25834
61,62,44,0,Middle,Chandigarh,158,1,Windows,Yes,4,6,22,6,33668,27944,17,1,12,0,Technical_Queries,Customer_support,4,0
62,63,19,1,Young,Ludhiana,181,0,iOS,No,1,6,52,20,89528,85051,5,0,0,29,Product_upgrade,Customer_support,5,26858
63,64,33,0,Young,Cuttack,148,0,Android,Yes,2,9,56,22,86114,66307,23,1,12,0,Technical_Queries,Customer_support,4,0
64,65,53,0,Old,Gorakhpur,119,0,iOS,No,4,1,28,8,33668,25924,23,0,0,32,Parts_change,Service_center,5,1001
65,66,33,0,Young,Indore,175,1,Linux,Yes,3,7,49,19,47192,38225,19,0,0,27,Product_upgrade,Customer_support,5,14157
66,67,28,1,Young,Mumbai,149,0,iOS,Yes,1,7,50,20,89528,72517,19,0,0,21,Parts_change,Service_center,4,1946
67,68,34,0,Young,Bhiwandi,216,0,iOS,Yes,3,9,44,17,47192,38225,19,1,0,12,Parts_change,Service_center,5,2413
68,69,34,1,Young,Jammu,199,0,Android,No,2,9,41,16,86114,81808,5,1,2,10,Technical_Queries,Remote_sharing,5,0
69,70,46,0,Old,Thiruvananthapuram,113,0,iOS,No,5,3,22,6,78227,63363,19,0,0,36,Product_upgrade,Customer_support,3,23468
70,71,48,1,Old,Patna,115,0,Android,No,4,6,24,7,33668,27944,17,0,0,23,Product_upgrade,Customer_support,5,10100
71,72,37,0,Middle,Tiruppur,68,0,Android,Yes,4,6,12,3,33668,27944,17,1,1,11,Technical_Queries,Customer_support,5,0
72,73,57,0,Old,Tiruchirappalli,149,1,Windows,No,4,5,1,0,33668,27944,17,0,0,25,Product_upgrade,Customer_support,5,10100
73,74,22,0,Young,Bhilai,150,1,Windows,No,2,4,53,21,86114,81808,5,1,10,2,Technical_Queries,Remote_sharing,4,0
74,75,51,0,Old,Mysore,121,0,iOS,No,5,3,26,7,78227,74315,5,1,5,7,Technical_Queries,Remote_sharing,4,0
75,76,31,0,Young,Tiruchirappalli,137,0,Android,No,2,6,55,22,86114,75780,12,1,8,4,Technical_Queries,Remote_sharing,5,0
76,77,28,1,Young,Madurai,187,0,Android,No,0,6,28,11,56323,43368,23,1,12,0,Technical_Queries,Remote_sharing,4,0
77,78,33,0,Young,Ajmer,178,0,iOS,Yes,0,10,51,20,56323,49564,12,1,8,4,Technical_Queries,Remote_sharing,4,0
78,79,34,1,Young,Surat,189,1,Linux,No,1,10,26,10,89528,78784,12,1,0,12,Technical_Queries,Remote_sharing,4,0
79,80,39,0,Middle,Goa,174,0,iOS,Yes,2,3,23,6,86114,66307,23,0,0,28,Parts_change,Service_center,5,2053
80,81,53,1,Old,Raipur,121,0,Android,Yes,4,5,13,3,33668,27271,19,1,10,2,Technical_Queries,Remote_sharing,5,0
81,82,38,0,Middle,Vasai-VirarCity,160,0,Android,No,3,6,35,10,47192,36337,23,1,11,1,Technical_Queries,Remote_sharing,5,0
82,83,30,1,Young,Indore,185,0,Android,Yes,1,6,40,16,89528,68936,23,0,0,32,Parts_change,Service_center,4,1899
83,84,52,0,Old,Goa,134,1,Windows,Yes,3,3,21,6,47192,38225,19,0,0,39,Product_upgrade,Customer_support,3,14157
84,85,34,0,Young,Mathura,142,1,Windows,No,2,9,44,17,86114,69752,19,1,9,3,Technical_Queries,Remote_sharing,4,0
85,86,33,0,Young,Coimbatore,191,1,Linux,No,3,7,53,21,47192,36337,23,1,4,8,Parts_change,Service_center,5,1434
86,87,45,0,Middle,Solapur,139,1,Windows,Yes,3,8,15,4,47192,36337,23,1,9,3,Technical_Queries,Customer_support,4,0
87,88,43,1,Middle,Amravati,119,1,Windows,Yes,2,8,16,4,86114,69752,19,0,0,37,Product_upgrade,Customer_support,2,25834
88,89,28,0,Young,Bikaner,154,0,Android,Yes,1,7,55,22,89528,74308,17,1,7,5,Technical_Queries,Customer_support,5,0
89,90,33,0,Young,Tiruvannamalai,197,1,Windows,Yes,1,4,44,17,89528,68936,23,1,1,11,Parts_change,Service_center,4,1026
90,91,58,1,Old,Jhansi,139,1,Linux,No,4,6,5,1,33668,29627,12,1,3,9,Parts_change,Service_center,5,1301
91,92,57,1,Old,Srinagar,134,1,Windows,Yes,5,6,17,5,78227,60234,23,0,0,24,Product_upgrade,Customer_support,4,23468
92,93,36,0,Middle,Mysore,88,0,Android,Yes,3,3,33,9,47192,39169,17,0,0,38,Product_upgrade,Customer_support,4,14157
93,94,37,1,Middle,Nashik,163,1,Windows,No,4,6,22,6,33668,29627,12,0,0,32,Product_upgrade,Customer_support,4,10100
94,95,59,0,Old,Jamnagar,118,1,Linux,No,3,6,18,5,47192,36337,23,1,3,9,Technical_Queries,Customer_support,4,0
95,96,60,0,Old,Jabalpur,123,1,Linux,Yes,3,6,19,5,47192,38225,19,1,3,9,Technical_Queries,Remote_sharing,5,0
96,97,49,0,Old,Chennai,136,1,Linux,No,4,3,16,4,33668,25924,23,1,3,9,Technical_Queries,Remote_sharing,4,0
97,98,35,0,Old,Ahmedabad,144,1,Linux,Yes,5,1,30,9,78227,64928,17,1,2,10,Technical_Queries,Customer_support,5,0
98,99,21,1,Young,Nellore,157,0,Android,Yes,1,1,41,16,89528,72517,19,0,0,13,Product_upgrade,Customer_support,2,26858
99,100,58,1,Old,Jalandhar,104,0,Android,Yes,5,3,11,3,78227,63363,19,1,6,6,Technical_Queries,Remote_sharing,5,0
100,101,58,1,Old,Jalandhar,142,1,Linux,No,3,3,16,4,47192,39169,17,1,6,6,Technical_Queries,Customer_support,4,0
101,102,28,0,Young,Jaipur,165,0,Android,Yes,0,4,44,17,56323,46748,17,0,0,14,Product_upgrade,Customer_support,3,16896
102,103,33,1,Young,Jodhpur,139,0,iOS,Yes,0,4,41,16,56323,53506,5,0,0,33,Parts_change,Service_center,4,1715
103,104,22,1,Young,Tirunelveli,189,0,Android,No,0,4,49,19,56323,45621,19,1,4,8,Parts_change,Service_center,4,671
104,105,38,1,Middle,Jaipur,110,1,Windows,Yes,4,8,26,7,33668,29627,12,1,7,5,Technical_Queries,Remote_sharing,4,0
105,106,56,1,Old,Jalandhar,148,1,Linux,Yes,3,1,5,1,47192,41528,12,0,0,33,Product_upgrade,Customer_support,5,14157
106,107,51,1,Old,Tirunelveli,142,1,Linux,Yes,5,5,19,5,78227,74315,5,1,2,10,Parts_change,Service_center,4,1290
107,108,18,1,Young,Amritsar,211,1,Windows,Yes,2,5,46,18,86114,66307,23,0,0,37,Product_upgrade,Customer_support,4,25834
108,109,44,1,Middle,Bikaner,130,0,iOS,No,2,4,19,5,86114,69752,19,1,4,8,Technical_Queries,Remote_sharing,4,0
109,110,26,1,Young,Vijayawada,172,1,Linux,Yes,1,4,31,12,89528,78784,12,1,3,9,Parts_change,Service_center,4,2191
110,111,42,0,Middle,Kanpur,78,1,Linux,Yes,3,3,33,9,47192,44832,5,1,0,12,Parts_change,Service_center,5,862
111,112,53,0,Old,Vasai-VirarCity,142,0,Android,Yes,4,1,27,8,33668,29627,12,0,0,24,Parts_change,Service_center,4,974
112,113,18,1,Young,Ludhiana,195,1,Windows,No,1,1,52,20,89528,68936,23,0,0,38,Product_upgrade,Customer_support,5,26858
113,114,46,0,Old,Sangli,121,0,Android,No,3,6,27,8,47192,41528,12,1,0,12,Technical_Queries,Remote_sharing,4,0
114,115,28,1,Young,Ujjain,134,1,Windows,Yes,0,6,40,16,56323,53506,5,0,0,32,Product_upgrade,Customer_support,3,16896
115,116,37,1,Middle,Bangalore,149,0,Android,No,3,7,16,4,47192,41528,12,1,12,0,Technical_Queries,Customer_support,5,0
116,117,23,1,Young,Kota,175,1,Linux,No,1,7,46,18,89528,68936,23,0,0,37,Product_upgrade,Customer_support,4,26858
117,118,51,1,Old,Tirunelveli,137,1,Windows,Yes,4,3,13,3,33668,29627,12,0,0,24,Product_upgrade,Customer_support,5,10100
118,119,47,0,Old,Asansol,106,0,Android,No,4,5,24,7,33668,27944,17,0,0,15,Product_upgrade,Customer_support,4,10100
119,120,58,0,Old,Kanpur,146,1,Windows,Yes,3,3,11,3,47192,44832,5,0,0,37,Product_upgrade,Customer_support,3,14157
120,121,23,0,Young,Ajmer,194,0,Android,No,3,4,46,18,47192,44832,5,0,0,15,Parts_change,Service_center,4,530
121,122,41,0,Middle,Guwahati,55,1,Windows,No,3,7,17,5,47192,44832,5,1,2,10,Technical_Queries,Customer_support,4,0
122,123,59,0,Old,Gwalior,143,0,iOS,No,3,3,12,3,47192,38225,19,1,11,1,Technical_Queries,Remote_sharing,4,0
123,124,55,0,Old,Bareilly,131,1,Windows,No,4,5,27,8,33668,27271,19,1,6,6,Technical_Queries,Remote_sharing,5,0
124,125,20,1,Young,Jalandhar,208,1,Windows,Yes,0,5,36,14,56323,49564,12,1,11,1,Technical_Queries,Remote_sharing,5,0
125,126,40,1,Middle,Tirunelveli,174,1,Linux,Yes,3,6,29,8,47192,38225,19,1,4,8,Technical_Queries,Remote_sharing,4,0
126,127,34,0,Young,Mangalore,143,0,iOS,Yes,0,9,60,24,56323,46748,17,1,3,9,Parts_change,Service_center,4,536
127,128,30,1,Young,Ghaziabad,172,1,Windows,Yes,1,9,57,22,89528,78784,12,0,0,15,Product_upgrade,Customer_support,5,26858
128,129,19,0,Young,Nellore,172,1,Linux,Yes,2,6,40,16,86114,71474,17,1,10,2,Technical_Queries,Remote_sharing,5,0
129,130,60,1,Old,Bangalore,140,0,Android,No,4,6,24,7,33668,25924,23,0,0,34,Parts_change,Service_center,4,1267
130,131,40,1,Middle,Amravati,128,1,Windows,Yes,2,3,22,6,86114,69752,19,0,0,15,Parts_change,Service_center,4,670
131,132,60,1,Old,Dhanbad,102,0,Android,Yes,4,6,21,6,33668,27944,17,1,4,8,Parts_change,Service_center,5,824
132,133,37,0,Middle,Jodhpur,162,0,Android,No,2,3,35,10,86114,75780,12,0,0,16,Parts_change,Service_center,5,1674
133,134,32,0,Young,Madurai,169,1,Linux,Yes,1,6,60,24,89528,74308,17,1,4,8,Parts_change,Service_center,4,1365
134,135,38,1,Middle,Rourkela,150,0,Android,Yes,4,7,11,3,33668,27271,19,0,0,35,Parts_change,Service_center,4,1383
135,136,58,1,Old,Chandigarh,122,1,Windows,No,3,1,7,2,47192,38225,19,1,11,1,Technical_Queries,Remote_sharing,4,0
136,137,60,1,Old,Srinagar,140,1,Linux,Yes,5,5,21,6,78227,60234,23,0,0,23,Product_upgrade,Customer_support,2,23468
137,138,18,1,Young,Pune,211,1,Windows,Yes,2,5,43,17,86114,75780,12,0,0,13,Parts_change,Service_center,4,2165
138,139,48,0,Old,Warangal,127,0,Android,No,4,5,22,6,33668,29627,12,0,0,15,Parts_change,Service_center,4,2466
139,140,23,1,Young,Jalandhar,145,0,Android,Yes,2,5,46,18,86114,69752,19,1,0,12,Technical_Queries,Remote_sharing,5,0
140,141,35,0,Young,Bijapur,193,1,Windows,No,3,9,40,16,47192,36337,23,0,0,14,Parts_change,Service_center,5,948
141,142,46,0,Old,Jaipur,117,1,Windows,Yes,3,1,7,2,47192,39169,17,0,0,39,Product_upgrade,Customer_support,3,14157
142,143,59,1,Old,Tiruppur,119,0,iOS,No,3,1,28,8,47192,39169,17,0,0,13,Parts_change,Service_center,5,716
143,144,49,1,Old,Tiruvannamalai,100,0,iOS,Yes,4,3,22,6,33668,25924,23,0,0,29,Product_upgrade,Customer_support,3,10100
144,145,24,0,Young,Kurnool,146,0,Android,Yes,2,9,49,19,86114,71474,17,1,10,2,Technical_Queries,Customer_support,4,0
145,146,47,1,Old,Rourkela,103,1,Windows,Yes,5,1,26,7,78227,60234,23,0,0,22,Product_upgrade,Customer_support,2,23468
146,147,35,1,Old,Durgapur,177,1,Windows,No,4,5,3,0,33668,31984,5,0,0,20,Parts_change,Service_center,5,1024
147,148,39,1,Middle,Noida,153,0,iOS,No,4,3,27,8,33668,31984,5,0,0,35,Product_upgrade,Customer_support,4,10100
148,149,37,0,Middle,Rajahmundry,152,1,Linux,Yes,3,7,36,10,47192,38225,19,0,0,28,Product_upgrade,Customer_support,3,14157
149,150,32,0,Young,Kolkata,164,0,iOS,Yes,1,9,58,23,89528,68936,23,0,0,13,Parts_change,Service_center,5,1537
150,151,30,1,Young,Thiruvananthapuram,185,0,Android,No,0,9,38,15,56323,45621,19,0,0,31,Product_upgrade,Customer_support,5,16896
151,152,51,0,Old,Palakkad,114,1,Windows,Yes,5,1,12,3,78227,68839,12,1,2,10,Parts_change,Service_center,4,693
152,153,51,1,Old,Jammu,122,0,iOS,No,3,6,21,6,47192,38225,19,1,3,9,Technical_Queries,Customer_support,4,0
153,154,20,1,Young,Palakkad,173,1,Linux,No,2,6,42,16,86114,71474,17,0,0,19,Product_upgrade,Customer_support,2,25834
154,155,21,0,Young,Moradabad,158,0,iOS,No,1,6,41,16,89528,74308,17,0,0,18,Parts_change,Service_center,4,2378
155,156,59,1,Old,Mysore,149,0,Android,Yes,4,6,20,6,33668,25924,23,1,9,3,Technical_Queries,Remote_sharing,5,0
156,157,60,0,Old,Thrissur,137,1,Windows,No,3,5,17,5,47192,36337,23,0,0,34,Product_upgrade,Customer_support,4,14157
157,158,36,0,Middle,Siliguri,53,0,iOS,Yes,3,4,10,3,47192,44832,5,1,4,8,Technical_Queries,Customer_support,5,0
158,159,52,0,Old,Mangalore,117,0,Android,No,4,3,24,7,33668,27271,19,0,0,36,Product_upgrade,Customer_support,2,10100
159,160,35,0,Old,Chandigarh,153,1,Windows,No,3,3,9,2,47192,41528,12,0,0,32,Product_upgrade,Customer_support,3,14157
160,161,53,1,Old,Hyderabad,107,1,Windows,No,4,1,16,4,33668,27944,17,1,11,1,Technical_Queries,Customer_support,4,0
161,162,21,1,Young,Sangli,168,0,Android,Yes,2,1,25,10,86114,71474,17,0,0,28,Product_upgrade,Customer_support,5,25834
162,163,26,1,Young,Guntur,172,1,Linux,Yes,0,1,50,20,56323,49564,12,0,0,34,Product_upgrade,Customer_support,4,16896
163,164,40,0,Middle,Bijapur,124,0,iOS,No,4,3,19,5,33668,27271,19,1,6,6,Technical_Queries,Remote_sharing,4,0
164,165,53,1,Old,Mumbai,117,1,Windows,No,5,1,20,6,78227,74315,5,0,0,20,Parts_change,Service_center,4,1023
165,166,19,0,Young,Bareilly,220,1,Linux,Yes,0,9,43,17,56323,43368,23,1,8,4,Technical_Queries,Remote_sharing,5,0
166,167,23,1,Young,Jaipur,207,1,Linux,Yes,1,9,34,13,89528,74308,17,0,0,24,Product_upgrade,Customer_support,5,26858
167,168,44,0,Middle,Rajahmundry,151,1,Linux,No,2,6,10,3,86114,71474,17,1,7,5,Technical_Queries,Customer_support,5,0
168,169,54,1,Old,Goa,119,0,iOS,No,5,5,13,3,78227,60234,23,1,1,11,Technical_Queries,Remote_sharing,5,0
169,170,40,1,Middle,Rajahmundry,173,0,Android,No,2,7,36,10,86114,81808,5,1,2,10,Technical_Queries,Remote_sharing,4,0
170,171,39,0,Middle,Jodhpur,158,1,Linux,No,2,8,35,10,86114,69752,19,0,0,29,Product_upgrade,Customer_support,2,25834
171,172,41,1,Middle,Kozhikode,157,0,Android,No,4,3,37,11,33668,31984,5,0,0,14,Product_upgrade,Customer_support,4,10100
172,173,31,1,Young,Faridabad,133,0,Android,No,1,3,33,13,89528,85051,5,0,0,37,Product_upgrade,Customer_support,3,26858
173,174,47,1,Old,Bijapur,123,1,Linux,No,3,5,25,7,47192,39169,17,0,0,20,Product_upgrade,Customer_support,3,14157
174,175,39,0,Middle,Dehradun,86,0,Android,No,3,4,37,11,47192,38225,19,0,0,25,Product_upgrade,Customer_support,5,14157
175,176,58,1,Old,Noida,149,0,iOS,No,3,3,5,1,47192,38225,19,0,0,29,Parts_change,Service_center,5,1405
176,177,50,1,Old,Chennai,116,1,Windows,Yes,5,6,28,8,78227,60234,23,1,11,1,Technical_Queries,Customer_support,5,0
177,178,46,1,Old,Kottayam,109,0,iOS,No,5,5,23,6,78227,63363,19,0,0,24,Parts_change,Service_center,4,1015
178,179,36,0,Middle,Siliguri,87,1,Windows,No,3,6,12,3,47192,36337,23,1,12,0,Technical_Queries,Remote_sharing,4,0
179,180,20,1,Young,Guntur,167,1,Linux,Yes,2,6,46,18,86114,66307,23,0,0,15,Product_upgrade,Customer_support,4,25834
180,181,54,1,Old,Faridabad,122,0,iOS,Yes,4,6,25,7,33668,27944,17,0,0,25,Parts_change,Service_center,5,1289
181,182,27,0,Young,Rajkot,220,0,Android,No,2,7,42,16,86114,81808,5,0,0,30,Parts_change,Service_center,4,1141
182,183,26,0,Young,Tirupati,213,0,Android,No,3,9,44,17,47192,39169,17,1,9,3,Technical_Queries,Customer_support,5,0
183,184,36,0,Middle,Bareilly,138,1,Windows,No,2,6,40,12,86114,69752,19,0,0,21,Product_upgrade,Customer_support,2,25834
184,185,26,0,Young,Belgaum,216,0,iOS,No,0,4,58,23,56323,49564,12,0,0,35,Product_upgrade,Customer_support,2,16896
185,186,42,1,Middle,Vijayawada,130,0,Android,No,3,3,26,7,47192,36337,23,1,7,5,Technical_Queries,Remote_sharing,4,0
186,187,23,1,Young,Ajmer,196,0,iOS,No,2,3,36,14,86114,81808,5,1,6,6,Technical_Queries,Customer_support,4,0
187,188,36,1,Middle,Tiruvannamalai,61,1,Linux,No,4,4,12,3,33668,27271,19,0,0,24,Product_upgrade,Customer_support,5,10100
188,189,49,1,Old,Faridabad,145,1,Windows,No,4,6,24,7,33668,25924,23,0,0,28,Product_upgrade,Customer_support,5,10100
189,190,51,1,Old,BokaroSteelCity,138,1,Linux,No,3,5,13,3,47192,41528,12,0,0,29,Product_upgrade,Customer_support,5,14157
190,191,51,0,Old,Ahmedabad,108,0,iOS,No,5,1,6,1,78227,60234,23,0,0,39,Product_upgrade,Customer_support,2,23468
191,192,52,0,Old,Belgaum,144,0,Android,Yes,3,1,22,6,47192,38225,19,1,5,7,Technical_Queries,Remote_sharing,4,0
192,193,43,0,Middle,Gulbarga,124,0,Android,Yes,2,8,23,6,86114,75780,12,0,0,13,Parts_change,Service_center,5,1675
193,194,27,0,Young,Amritsar,177,0,iOS,No,1,10,42,16,89528,78784,12,1,10,2,Technical_Queries,Customer_support,4,0
194,195,50,0,Old,Mathura,137,1,Windows,Yes,5,5,20,6,78227,64928,17,1,0,12,Technical_Queries,Customer_support,5,0
195,196,35,0,Old,Jamshedpur,205,0,Android,No,5,3,7,2,78227,68839,12,1,1,11,Technical_Queries,Remote_sharing,5,0
196,197,54,1,Old,Kota,103,1,Windows,No,3,3,2,0,47192,39169,17,0,0,25,Product_upgrade,Customer_support,3,14157
197,198,30,1,Young,Bangalore,193,0,Android,Yes,0,3,44,17,56323,43368,23,0,0,14,Parts_change,Service_center,5,2082
198,199,31,0,Young,Jodhpur,165,0,Android,No,1,10,55,22,89528,78784,12,1,2,10,Technical_Queries,Customer_support,4,0
199,200,60,0,Old,Jabalpur,122,0,iOS,Yes,4,5,19,5,33668,25924,23,0,0,23,Parts_change,Service_center,4,1972
